time,y_test,y_pred,all
2021-10-16 15:00:00,16005KT 120V210 9999 BKN038 15/15 Q1015 TEMPO 3000 RA,vrb02kt 9999 ra bkn033 16 15 q1015 nosig,17009kt 5000 RA BKN040 BKN 16 14 q1015 vrb02kt 9999 ra bkn033 16 15 q1015 nosig tempo ra bkn010
2019-10-28 23:00:00,20005KT 170V230 9999 FEW024 17/15 Q1014 TEMPO 3000 RA,19004kt 9999 few022 16 15 q1015 nosig,18003kt 9999 WM FEW025 M 17 16 q1015 19004kt 9999 few022 16 15 q1015 nosig tempo 3000 br bkn002
2022-03-07 13:00:00,21012KT 160V260 9999 FEW030 14/01 Q1010 NOSIG,20013kt 160v230 9999 few045 14 14 q1011 nosig,19007kt 9999 WM M050 M 13 02 q1011 20013kt 160v230 9999 few045 14 14 q1011 nosig 2000 ra bkn014
2020-08-24 11:00:00,VRB02KT CAVOK 22/16 Q1019 NOSIG,vrb01kt cavok 24 13 q1020 nosig,06003kt 9999 WM MNClD M 22 16 q1020 vrb01kt cavok 24 13 q1020 nosig bkn012 20 rwy tempo sct010
2018-05-13 09:00:00,27008KT 230V310 9999 FEW020 SCT030 11/09 Q1024 NOSIG,31006kt 250v010 9999 sct022 12 09 q1024 nosig,28011kt 9999 WM SCT025 SCT 12 09 q1024 31006kt 250v010 9999 sct022 12 09 q1024 nosig q1024 nosig 3000
2019-09-19 12:00:00,04005KT CAVOK 25/18 Q1016 NOSIG,07008kt 010v110 cavok 24 19 q1017 nosig,02003kt 9999 WM MNClD M 24 18 q1016 07008kt 010v110 cavok 24 19 q1017 nosig few040 26 q1016 nosig
2018-03-06 05:00:00,28010KT 240V320 9999 SCT030TCU 08/05 Q0995 RESHRA TEMPO SHRA,28012kt 240v330 9999 sct030 06 04 q0993 tempo 3000 shra sct030tcu,26017kt 9999 WM SCT030 M 07 04 q0995 28012kt 240v330 9999 sct030 06 04 q0993 tempo 3000 shra sct030tcu
2019-03-19 21:00:00,03005KT 340V060 9999 SCT032 10/07 Q1031 NOSIG,36005kt 300v060 9999 bkn033 11 07 q1032 nosig,03005kt 9999 WM BKN035 M 11 07 q1032 36005kt 300v060 9999 bkn033 11 07 q1032 nosig nsw nosig r03
2018-08-13 20:00:00,36004KT 320V030 9999 FEW012 BKN025 18/16 Q1020 NOSIG,36004kt 320v050 9999 few015 21 18 q1020 nosig,34001kt 9999 WM FEW015 BKN 19 16 q1020 36004kt 320v050 9999 few015 21 18 q1020 nosig sct030 16 12
2022-06-03 08:00:00,VRB02KT 9999 FEW040 18/14 Q1013 NOSIG,vrb02kt 9999 few035 18 15 q1013 nosig,15001kt 9999 WM FEWNClD M 16 15 q1013 vrb02kt 9999 few035 18 15 q1013 nosig few030tcu nosig 20 12
