time,fusion
2018-01-01 01:00:00,22011kt 9999 WM MNClD M 10 07 q1027 19009KT CAVOK 10/08 Q1027
2018-01-01 03:00:00,22013kt 9999 WM MNClD M 11 07 q1027 19006KT 150V220 CAVOK 11/07 Q1027
2018-01-01 04:00:00,23013kt 9999 WM FEWNClD M 11 07 q1027 23012KT CAVOK 12/07 Q1026
2018-01-01 05:00:00,23015kt 9999 WM SCT040 M 12 08 q1027 23013G23KT 190V250 9999 SCT040 12/08 Q1026 NOSIG
2018-01-01 07:00:00,24017kt 9999 WM FEW030 M 12 09 q1026 25014KT 220V290 9999 FEW040 13/08 Q1026 NOSIG
2018-01-01 08:00:00,24019kt 9999 WM SCT030 M 12 09 q1026 24014G24KT 210V290 9999 SCT030 13/09 Q1025 NOSIG
2018-01-01 09:00:00,24017kt 9999 WM SCT030 M 13 09 q1026 25013G23KT 210V300 9000 -RA SCT025 13/10 Q1026 NOSIG
2018-01-01 13:00:00,25019kt 9999 WM SCT025 SCT 14 11 q1028 27015G28KT 220V320 9999 SCT023 SCT030 15/11 Q1027 TEMPO 3000 RA
2018-01-01 15:00:00,25017kt 5000 WM SCT030 BKN 15 11 q1027 27013G27KT 230V320 4000 -RA SCT025 BKN035 14/12 Q1027 TEMPO 8000 -RA
2018-01-01 16:00:00,25013kt 9999 WM SCT020 BKN 14 11 q1028 26011G21KT 190V330 7000 3000S SCT016 BKN028 13/12 Q1028 TEMPO 3000 RA
2018-01-01 17:00:00,25013kt 9999 WM FEW020 SCT 14 11 q1028 26009KT 210V300 7000 FEW016 SCT028 BKN036 13/12 Q1028 TEMPO 3000 RA
2018-01-01 19:00:00,24011kt 9999 RA SCT030 BKN 13 11 q1029 26010KT 210V300 9999 -RA SCT025 BKN035 13/11 Q1028 TEMPO 3000 RA
2018-01-01 20:00:00,24011kt 9999 WM SCT050 BKN 14 11 q1028 24009KT 200V280 9999 SCT032 BKN042 14/11 Q1029 TEMPO 3000 RA
2018-01-01 23:00:00,23013kt 9999 WM FEW025 BKN 13 11 q1029 25011KT 200V290 9999 FEW040 15/10 Q1029 TEMPO 3000 RA
2018-01-02 02:00:00,23015kt 9999 WM BKN050 BKN 13 11 q1028 24012KT 200V280 9999 BKN048 15/11 Q1028
2018-01-02 03:00:00,23017kt 9999 WM FEW030 BKN 14 11 q1027 24006G16KT 200V290 9999 FEW025/// BKN042/// 15/11 Q1028
2018-01-02 04:00:00,23017kt 9999 RA BKN025 BKN 14 12 q1027 24007KT 9000 -RA FEW024/// BKN036/// BKN045/// 14/12 Q1027
2018-01-02 06:00:00,23015kt 9999 RA BKN030 BKN 14 13 q1027 21007KT 170V250 9000 -RA BKN027 BKN045 14/13 Q1026 TEMPO 3000 RA
2018-01-02 07:00:00,24013kt 9999 RA SCT025 BKN 14 13 q1027 22008KT 170V260 5000 -RA SCT027 BKN035 14/13 Q1027 TEMPO 3000 RA
2018-01-02 08:00:00,24015kt 5000 DZ BKN015 M 14 13 q1028 24008KT 200V270 4500 DZ BKN022 15/14 Q1027 TEMPO BKN012
2018-01-02 09:00:00,24013kt 5000 DZ BKN015 M 14 13 q1028 25009KT 210V280 4500 DZ BKN018 15/14 Q1028 TEMPO BKN012
2018-01-02 10:00:00,24013kt 9999 RA SCT015 BKN 15 14 q1028 26007KT 220V320 4500 -RA BR SCT010 BKN015 16/15 Q1028 TEMPO BKN012
2018-01-02 11:00:00,25011kt 9999 WM SCT015 BKN 15 14 q1029 26007G17KT 200V310 9000 SCT013 BKN020 16/15 Q1029 TEMPO 3000 BR BKN012
2018-01-02 13:00:00,25011kt 9999 WM SCT020 BKN 16 14 q1028 26009KT 210V330 9000 SCT016 BKN022 BKN040 17/15 Q1027 TEMPO BKN012
2018-01-02 14:00:00,25013kt 9999 WM SCT015 BKN 16 14 q1028 27010G22KT 220V330 9999 SCT025 BKN040 17/14 Q1027 TEMPO BKN012
2018-01-02 15:00:00,25013kt 9999 DZ SCT015 BKN 17 14 q1028 27010KT 230V330 5000 DZ BR SCT014 BKN020 BKN027 16/15 Q1028 TEMPO 4000 BR BKN014
