time,y_test,y_pred,all
2022-03-13 14:00:00,21012G23KT 180V260 9999 SCT011 SCT020 BKN035 08/06 Q1010 TEMPO 3000 RA,19013kt 9999 ra sct015 bkn028 07 05 q1010 nosig,20017kt 9999 WM SCT015 SCT 07 05 q1010 19013kt 9999 ra sct015 bkn028 07 05 q1010 nosig ra bkn010
2022-08-01 21:00:00,03004KT 350V090 CAVOK 22/17 Q1017 NOSIG,09005kt 010v160 cavok 23 17 q1018 nosig,05007kt 9999 WM MNClD M 23 17 q1018 09005kt 010v160 cavok 23 17 q1018 nosig bkn007 17 16 q1020
2019-07-22 08:00:00,06004KT 010V120 9000 NSC 19/17 Q1020 NOSIG,05003kt 010v100 9999 vcfg nsc 17 16 q1021 nosig,03009kt 9999 WM NSCNClD M 18 16 q1020 05003kt 010v100 9999 vcfg nsc 17 16 q1021 nosig sct005 q1019
2022-10-05 01:00:00,16005KT 3500 0500NE BCFG SCT001 13/12 Q1022 NOSIG,00000kt cavok 12 11 q1021 nosig,14003kt 5000 FG MNClD M 12 10 q1021 00000kt cavok 12 11 q1021 nosig sct015 13 11 q1022 tempo
2020-04-01 05:00:00,00000KT 9999 FEW020 06/05 Q1010 NOSIG,00000kt 9999 few020 04 04 q1009 nosig,07003kt 9999 FG FEW025 M 06 05 q1009 00000kt 9999 few020 04 04 q1009 nosig few040 07 05 6000
2022-12-16 02:00:00,VRB02KT 9999 SCT030 BKN045 09/07 Q1003 NOSIG,09004kt 050v130 9999 sct025 bkn045 09 06 q1002 tempo 3000 shra,06007kt 9999 WM SCT030 BKN 09 07 q1003 09004kt 050v130 9999 sct025 bkn045 09 06 q1002 tempo 3000 shra
2018-10-09 08:00:00,VRB02KT CAVOK 14/08 Q1012 NOSIG,14004kt cavok 14 09 q1013 nosig,10005kt 9999 WM MNClD M 13 09 q1013 14004kt cavok 14 09 q1013 nosig q1012 nosig bcfg few028 12
2019-09-04 13:00:00,03013KT 350V080 9999 FEW015 23/14 Q1024 NOSIG,03014g24kt 350v080 9999 few012 23 14 q1024 nosig,02019kt 9999 WM FEW015 M 22 14 q1024 03014g24kt 350v080 9999 few012 23 14 q1024 nosig few015 14 12
2021-12-14 22:00:00,10002KT CAVOK 09/06 Q1025 NOSIG,14002kt cavok 09 03 q1025 nosig,10005kt 9999 WM MNClD M 08 03 q1025 14002kt cavok 09 03 q1025 nosig q1025 nosig q1024 8000 bcfg
2021-03-21 22:00:00,05005KT 360V090 CAVOK 07/03 Q1024 NOSIG,05003kt 010v090 cavok 08 04 q1025 nosig,03011kt 9999 WM MNClD M 07 03 q1025 05003kt 010v090 cavok 08 04 q1025 nosig all rwy nosig all
2022-11-24 09:00:00,19008KT 150V230 3000 R17/P2000 R35/0750D BCFG BKN003 OVC005 12/12 Q1012 TEMPO BR BKN005,21008kt 170v240 9999 ra bkn006 bkn013 13 13 q1013 nosig,22015kt 9999 RA BKN005 BKN 12 11 q1013 21008kt 170v240 9999 ra bkn006 bkn013 13 13 q1013 nosig ra
2018-10-21 20:00:00,08005KT 030V150 CAVOK 16/14 Q1022 NOSIG,vrb02kt cavok 15 14 q1022 nosig,02007kt 9999 WM MNClD M 16 13 q1022 vrb02kt cavok 15 14 q1022 nosig q1023 nosig 1200d vcfg 020v160
2020-08-08 06:00:00,04004KT 360V090 9999 FEW003 15/14 Q1020 NOSIG,vrb02kt cavok 14 13 q1020 nosig,02007kt 9999 WM M005 M 15 14 q1020 vrb02kt cavok 14 13 q1020 nosig bkn010 bkn013 ovc045 13 12
2022-03-24 10:00:00,10007KT 060V150 CAVOK 13/04 Q1019 NOSIG,06005kt 010v160 cavok 13 05 q1019 nosig,08011kt 9999 WM MNClD M 13 06 q1019 06005kt 010v160 cavok 13 05 q1019 nosig bkn030 17 14 q1022
2021-04-14 07:00:00,07003KT 300V100 9999 SCT042 10/07 Q1018 NOSIG,06005kt 020v110 cavok 10 08 q1018 nosig,08009kt 9999 WM NSC045 M 10 08 q1018 06005kt 020v110 cavok 10 08 q1018 nosig bkn022 bkn033 15 10
2018-10-25 05:00:00,VRB01KT 9999 VCFG NSC 08/08 Q1020 NOSIG,11004kt 080v140 9999 few020 11 07 q1021 nosig,09007kt 9999 WM NSCNClD M 11 07 q1021 11004kt 080v140 9999 few020 11 07 q1021 nosig q1020 nosig few030cb
2018-01-18 14:00:00,13003KT 060V190 2500 BCFG -DZ SCT002 OVC007 07/07 Q1025 NOSIG,16005kt 110v190 4000 1200s br vv001 08 08 q1025 tempo 0800,19007kt 3000 DZ SCT005 BKN 08 07 q1025 16005kt 110v190 4000 1200s br vv001 08 08 q1025 tempo 0800
2018-12-18 11:00:00,27010KT 220V320 5000 RA SCT007 BKN011 BKN023 09/09 Q1013 TEMPO 3000 RA BKN010,21008kt 180v240 9999 ra sct010 bkn022 ovc032 09 09 q1012 tempo,20017kt 3000 RA SCT010 BKN 09 09 q1012 21008kt 180v240 9999 ra sct010 bkn022 ovc032 09 09 q1012 tempo
2020-10-24 03:00:00,21012G24KT 170V250 9999 -DZ VCFG BKN006 OVC012 12/11 Q1022 TEMPO 3000 BCFG BKN003,20009kt 170v230 9999 dz sct014 ovc017 11 10 q1021 nosig,20017kt 9999 DZ BKN010 OVC 12 10 q1021 20009kt 170v230 9999 dz sct014 ovc017 11 10 q1021 nosig ra
